gbv-research/algorithms/distillspec_gbv/losses/build_training_data.py


timestamp,checkpoint,dataset,mode,K,L,n_prompts,block_eff,throughput_tok_s,avg_tree_nodes,total_gen_tokens,total_time_s
2026-06-12T18:36:48,Qwen/Qwen3-0.6B,gsm8k_eval,specinfer,1,8,100,4.474889,8.3667,9.0000,13098,1565.49
2026-06-12T18:37:02,Qwen/Qwen3-0.6B,gsm8k_eval,naive,1,8,100,4.544918,8.4674,9.0000,13103,1547.46
2026-06-12T18:37:09,Qwen/Qwen3-0.6B,gsm8k_eval,spectr,1,8,100,4.544918,8.3479,9.0000,13103,1569.62
2026-06-12T19:54:52,Qwen/Qwen3-0.6B,gsm8k_eval,naive,4,8,100,4.493146,7.1715,24.1847,13111,1828.22
2026-06-12T19:58:25,Qwen/Qwen3-0.6B,gsm8k_eval,specinfer,4,8,100,3.915447,6.3808,25.2453,13105,2053.81
2026-06-12T19:58:35,Qwen/Qwen3-0.6B,gsm8k_eval,spectr,4,8,100,4.019024,6.3610,25.5339,13098,2059.11
2026-06-13T05:58:46,Qwen/Qwen3-0.6B,gsm8k_eval,khisti,1,8,1000,4.476350,7.1032,9.0000,131166,18465.66
2026-06-13T05:59:18,Qwen/Qwen3-0.6B,gsm8k_eval,gbv,1,8,1000,4.670455,7.0528,9.0000,131109,18589.74
2026-06-13T07:16:03,Qwen/Qwen3-0.6B,gsm8k_eval,nss,1,8,1000,3.397999,5.6392,9.0000,130755,23186.91
2026-06-13T10:54:04,Qwen/Qwen3-0.6B,gsm8k_eval,traversal,1,8,1000,4.708220,8.0571,9.0000,131171,16280.11
2026-06-13T11:01:50,Qwen/Qwen3-0.6B,gsm8k_eval,bv,1,8,1000,4.670455,7.8148,9.0000,131109,16776.98



timestamp,checkpoint,dataset,mode,K,L,n_prompts,block_eff,throughput_tok_s,avg_tree_nodes,total_gen_tokens,total_time_s
2026-06-13T06:24:58,Qwen/Qwen3-0.6B,gsm8k_eval,naive,2,8,1000,4.591574,7.2183,14.4387,130892,18133.29
2026-06-13T06:54:55,Qwen/Qwen3-0.6B,gsm8k_eval,spectr,2,8,1000,4.506485,6.6664,14.5621,130999,19650.73
2026-06-13T06:57:46,Qwen/Qwen3-0.6B,gsm8k_eval,specinfer,2,8,1000,4.240648,6.5905,14.6733,130701,19831.77
2026-06-13T07:43:01,Qwen/Qwen3-0.6B,gsm8k_eval,traversal,2,8,1000,4.937869,9.2040,14.4301,131135,14247.67
2026-06-13T08:06:47,Qwen/Qwen3-0.6B,gsm8k_eval,gbv,2,8,1000,4.543529,8.3546,14.6460,131049,15685.83
2026-06-13T08:15:16,Qwen/Qwen3-0.6B,gsm8k_eval,bv,2,8,1000,4.625322,8.0368,14.2347,131114,16314.19
2026-06-13T08:16:48,Qwen/Qwen3-0.6B,gsm8k_eval,nss,2,8,1000,3.276720,5.4260,14.7546,130266,24007.59
2026-06-13T08:36:58,Qwen/Qwen3-0.6B,gsm8k_eval,khisti,2,8,1000,4.262226,7.4098,14.7358,130731,17642.88
2026-06-13T08:43:24,Qwen/Qwen3-0.6B,gsm8k_eval,naive,3,8,1000,4.625366,7.4209,19.4675,130958,17647.23
2026-06-13T09:00:59,Qwen/Qwen3-0.6B,gsm8k_eval,spectr,3,8,1000,4.450073,7.0021,19.7537,130801,18680.38
2026-06-13T09:22:46,Qwen/Qwen3-0.6B,gsm8k_eval,specinfer,3,8,1000,4.039296,6.5340,20.0742,130647,19994.99
2026-06-13T10:22:50,Qwen/Qwen3-0.6B,gsm8k_eval,nss,3,8,1000,3.213497,5.5125,20.2456,130137,23607.56
2026-06-13T11:40:44,Qwen/Qwen3-0.6B,gsm8k_eval,bv,3,8,1000,4.674934,7.7135,18.8500,131188,17007.57
2026-06-13T12:00:26,Qwen/Qwen3-0.6B,gsm8k_eval,khisti,3,8,1000,4.006476,6.5319,20.2877,130539,19984.87
2026-06-13T12:09:10,Qwen/Qwen3-0.6B,gsm8k_eval,gbv,3,8,1000,4.241135,7.0177,20.1143,130839,18644.21
2026-06-13T13:00:19,Qwen/Qwen3-0.6B,gsm8k_eval,naive,1,8,1000,4.449623,8.7238,9.0000,131077,15025.18
2026-06-13T13:14:07,Qwen/Qwen3-0.6B,gsm8k_eval,specinfer,1,8,1000,4.449623,8.6441,9.0000,131077,15163.67
2026-06-13T13:15:42,Qwen/Qwen3-0.6B,gsm8k_eval,bv,4,8,1000,4.661782,7.0793,23.0048,131066,18513.88
2026-06-13T13:30:53,Qwen/Qwen3-0.6B,gsm8k_eval,spectr,1,8,1000,4.449623,8.8287,9.0000,131077,14846.76
2026-06-13T14:00:19,Qwen/Qwen3-0.6B,gsm8k_eval,khisti,4,8,1000,3.897628,5.9601,25.5741,130477,21891.70
2026-06-13T14:23:13,Qwen/Qwen3-0.6B,gsm8k_eval,bv,1,8,1000,4.634202,9.2015,9.0000,130995,14236.25
2026-06-13T14:27:33,Qwen/Qwen3-0.6B,gsm8k_eval,gbv,4,8,1000,4.073995,6.1617,25.3821,130873,21239.69
