timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os
2026-06-19T05:08:51,checkpoints/jsd+naive_treex0.1_seed123/ckpt_best,gsm8k_eval,bv,3,8,100,0,2351,5.589111,14.6984,380.253,68.035,16.5453,13140,893.97,729.566,119.792,4.211,31.059,0.051,26.5,4.5,18591,14725,79440,,,10.9,16770.9,17304.0,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:09:16,checkpoints/jsd+naive_treex0.3_seed123/ckpt_best,gsm8k_eval,bv,3,8,100,0,2416,5.438328,14.4783,375.620,69.069,16.8605,13139,907.50,740.829,121.395,4.253,31.804,0.050,26.9,4.6,18593,15735,79431,,,10.8,16770.9,17306.0,cuda:1,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:09:18,checkpoints/jsd_seed123/ckpt_best,gsm8k_eval,bv,3,8,100,0,2394,5.477444,14.7640,371.000,67.732,16.4716,13113,888.17,724.373,119.023,4.147,31.635,0.048,27.0,4.7,18593,15591,80836,,,10.9,16770.9,17306.0,cuda:3,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:10:42,checkpoints/jsd+naive_treex1.0_seed123/ckpt_best,gsm8k_eval,bv,3,8,100,0,2614,5.003443,13.2954,376.328,75.214,17.5134,13079,983.72,803.092,132.208,4.668,34.398,0.050,26.9,4.6,18591,15244,79800,,,10.3,16770.9,17304.0,cuda:2,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:33:47,checkpoints/jsd+naive_treex0.1_seed123/ckpt_best,gsm8k_eval,bv,2,8,100,0,2483,5.283125,14.5543,362.993,68.708,13.3460,13118,901.31,735.161,120.420,4.226,32.220,0.049,27.2,4.7,18523,15489,82117,,,7.8,16770.9,17236.0,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:34:56,checkpoints/jsd_seed123/ckpt_best,gsm8k_eval,bv,2,8,100,0,2453,5.345699,14.3461,372.623,69.705,13.3494,13113,914.04,746.081,122.285,4.319,32.198,0.051,26.6,4.4,18521,15458,80253,,,7.8,16770.9,17234.0,cuda:3,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:35:19,checkpoints/jsd+naive_treex0.3_seed123/ckpt_best,gsm8k_eval,bv,2,8,100,0,2505,5.247106,13.4566,389.929,74.313,13.4359,13144,976.77,797.902,130.902,4.610,33.837,0.049,25.4,4.3,18519,14928,76537,,,7.7,16770.9,17232.0,cuda:1,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T05:35:57,checkpoints/jsd+naive_treex1.0_seed123/ckpt_best,gsm8k_eval,bv,2,8,100,0,2659,4.933810,13.1556,375.036,76.013,13.6318,13119,997.22,815.414,133.102,4.674,34.787,0.047,26.8,4.3,18523,15823,79327,,,7.6,16770.9,17236.0,cuda:2,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T06:11:09,checkpoints/jsd+naive_treex0.3_seed123/ckpt_best,gsm8k_eval,bv,4,8,100,0,2489,5.287666,14.9957,352.613,66.686,20.0783,13161,877.65,715.000,118.392,4.120,31.435,0.045,28.5,5.1,18619,15999,83770,,,13.2,16770.9,17332.0,cuda:1,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
2026-06-19T06:11:16,checkpoints/jsd_seed123/ckpt_best,gsm8k_eval,bv,4,8,100,0,2417,5.428217,15.0744,360.096,66.338,19.4746,13120,870.35,709.270,117.259,4.080,30.935,0.044,27.8,5.1,18621,15688,80910,,,13.1,16770.9,17334.0,cuda:3,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39
