timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1
2026-06-22T01:36:16,checkpoints/jsd_flat_enrich_K1_mathhard_s123/ckpt_best,math_eval,bv,1,8,100,0,2207,5.922972,15.9684,370.919,62.624,9,13072,818.62,665.794,109.581,3.921,30.616,0.042,24.6,4.4,19450,15014,78369,,,9.3,16770.9,17742,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/hjlsg2cr,0
2026-06-22T02:17:24,checkpoints/jsd_flat_enrich_K1_mathhard_s123/ckpt_best,math_eval,bv,2,8,100,0,2135,6.147541,16.5989,370.357,60.245,12.9452,13125,790.71,644.569,104.704,3.76,29.205,0.04,26.9,4.5,19902,15907,81741,,,10.4,16770.9,17772,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/hjlsg2cr,0
2026-06-22T03:44:30,checkpoints/jsd_flat_enrich_K1_mathhard_s123/ckpt_best,math_eval,bv,3,8,100,0,2167,6.070143,15.598,389.161,64.111,16.0812,13154,843.31,687.975,112.016,4,30.413,0.041,26.2,4.5,19988,14947,90127,,,10.4,16770.9,17858,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/hjlsg2cr,0
2026-06-22T04:35:40,checkpoints/jsd_flat_enrich_K1_mathhard_s123/ckpt_best,math_eval,bv,4,8,100,0,2141,6.136852,16.0097,383.32,62.462,19.0864,13139,820.69,668.765,109.736,3.871,29.608,0.039,26.7,4.6,20094,17423,100317,,,9.4,16770.9,17964,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/hjlsg2cr,0
2026-06-24T03:57:49,checkpoints/jsd_flat_enrich_K1_mathhard_s456/ckpt_best,math_eval,bv,1,8,100,0,2140,6.136449,16.5710,370.312,60.346,9.0000,13132,792.47,644.546,105.934,3.788,29.509,0.044,24.7,4.5,19458,14363,82774,,,7.0,16770.9,17750.0,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/mekhfoy6,0
2026-06-23T15:18:34,checkpoints/jsd_flat_enrich_K1_mathhard_s456/ckpt_best,math_eval,bv,2,8,100,0,2145,6.135198,16.8905,363.233,59.205,12.8984,13160,779.13,633.691,104.482,3.674,28.989,0.042,27.4,4.7,19540,15653,85049,,,5.3,16782.5,17832,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/mekhfoy6,0
2026-06-23T17:47:48,checkpoints/jsd_flat_enrich_K1_mathhard_s456/ckpt_best,math_eval,bv,3,8,100,0,2181,6.03989,16.732,360.978,59.766,16.3966,13173,787.29,640.982,105.326,3.577,29.189,0.038,27.9,4.9,19628,16115,86636,,,5.1,16803.5,17920,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/mekhfoy6,0
2026-06-26T00:19:56,checkpoints/jsd_flat_enrich_K1_mathhard_s456/ckpt_best,math_eval,bv,4,8,1000,0,21519,6.110275,14.5287,420.566,68.829,18.9493,131487,9050.15,7546.466,1076.440,38.436,295.405,0.393,13.2,2.2,45480,9146,42511,,,7.3,16770.9,21928.0,cuda:0,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),0
2026-06-23T03:03:05,checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval,bv,1,8,100,0,2139,6.156615,17.4772,352.266,57.217,9,13169,753.5,612.142,100.993,3.446,28.764,0.034,25.5,4.5,19039,16218,83472,,,5.2,16770.9,17752,cuda:1,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/4whq9rs9,0
2026-06-23T05:07:09,checkpoints/jsd_flat_enrich_K3_mathhard_s123/ckpt_best,math_eval,bv,2,8,100,0,2106,6.224122,17.0567,364.907,58.628,12.9492,13108,768.49,626.199,102.01,3.539,28.422,0.042,27.3,4.6,19059,15996,84139,,,5.2,16770.9,17772,cuda:1,123,bf16,12,NVIDIA A100-SXM4-80GB,4,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/4whq9rs9,0
