model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.221719
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.305074
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.382086
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.449111
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.505662
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.552941
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.590000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.490781
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.626652
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.721435
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.794230
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.860114
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.913313
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.950000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.079844
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.119241
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.159348
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.199859
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.242976
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.280840
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.310000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.232031
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.295174
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.356659
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.417399
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.473097
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.520311
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.560000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.548750
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.639301
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.709462
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.765991
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.815834
