timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1,teacher_model
2026-07-05T02:20:06,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,naive,1,8,100,0,2269,5.784927,12.5804,459.837,79.489,9.0000,13126,1043.37,803.134,184.100,1.220,42.325,0.040,0.0,0.0,768,3660,3667,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T02:46:58,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,nss,1,8,100,0,3369,3.885723,8.4588,459.369,118.220,9.0000,13091,1547.62,1195.462,274.234,2.112,62.972,0.036,0.0,0.0,768,3705,3378,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T03:05:18,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,specinfer,1,8,100,0,2296,5.713850,12.3385,463.089,81.047,9.0000,13119,1063.25,818.739,187.773,1.366,42.757,0.036,0.0,0.0,768,3581,3728,,,8.2,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T03:23:08,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,spectr,1,8,100,0,2269,5.784927,12.6893,455.890,78.807,9.0000,13126,1034.42,795.804,182.628,1.224,42.322,0.036,0.0,0.0,768,3588,3600,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T03:42:36,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,khisti,1,8,100,0,2269,5.784927,11.5834,499.413,86.330,9.0000,13126,1133.17,872.632,200.833,1.324,44.826,0.037,0.0,0.0,768,3513,3325,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T04:00:33,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,max,1,8,100,0,2269,5.784927,12.5961,459.264,79.390,9.0000,13126,1042.07,802.035,183.942,1.226,42.352,0.036,0.0,0.0,768,3609,3570,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T04:17:10,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,bv,1,8,100,0,2090,6.291388,13.5718,463.564,73.682,9.0000,13149,968.85,743.362,170.418,3.303,39.217,0.036,0.0,0.0,768,3777,2912,,,8.1,65778.7,66610.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T04:33:53,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,gbv,1,8,100,0,2090,6.291388,13.4858,466.519,74.152,9.0000,13149,975.02,744.323,170.851,7.999,39.225,0.036,0.0,0.0,768,3746,3366,,,8.1,65792.7,66638.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T04:50:58,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal,1,8,100,0,2132,6.176829,13.3024,464.339,75.174,9.0000,13169,989.97,760.695,174.445,2.313,39.940,0.036,0.0,0.0,768,3832,3461,,,8.1,65778.7,66638.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
2026-07-05T05:10:24,/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/po_logprob_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal_dAdapt,1,8,100,0,2132,6.176829,12.0346,513.256,83.094,9.0000,13169,1094.26,858.687,179.020,2.399,40.998,0.040,0.0,0.0,768,3708,2859,,,8.2,65778.7,66604.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/en60avdy,0,Qwen/Qwen3-32B
