timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1,teacher_model
2026-07-24T08:10:30,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,naive,3,16,100,0,1883,7.061073,10.8867,648.598,91.855,38.3919,13296,1221.31,1080.642,104.783,1.593,25.777,0.044,26.6,3.9,18943,16515,85092,,,6.8,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T08:46:36,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,nss,3,16,100,0,3249,4.049554,6.4394,628.874,155.295,40.6584,13157,2043.21,1810.822,177.347,2.586,43.795,0.039,26.6,3.8,18943,16599,83855,,,6.8,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T09:15:16,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,specinfer,3,16,100,0,2587,5.098183,7.8844,646.614,126.832,40.5493,13189,1672.79,1480.877,145.071,2.541,35.581,0.039,26.1,3.6,18943,16246,83528,,,6.1,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T09:38:16,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,spectr,3,16,100,0,2147,6.163950,9.9103,621.973,100.905,39.4085,13234,1335.37,1174.477,115.107,9.245,28.345,0.037,26.0,3.6,18945,16109,80694,,,5.6,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T10:08:31,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,khisti,3,16,100,0,2703,4.889382,7.5040,651.572,133.263,41.2593,13216,1761.20,1518.781,149.159,47.806,36.845,0.038,26.3,3.7,18945,16575,82255,,,5.6,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T10:35:11,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,max,3,16,100,0,2399,5.510213,8.4565,651.596,118.252,40.2301,13219,1563.18,1310.499,128.582,83.825,31.971,0.038,26.4,3.6,19227,16256,82767,,,5.6,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T10:53:04,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,bv,3,16,100,0,1662,8.057160,12.9492,622.213,77.225,37.7286,13391,1034.12,909.939,88.710,5.342,22.072,0.038,26.2,3.6,19245,16645,81811,,,5.6,16767.6,17658.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T11:19:50,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,gbv,3,16,100,0,2272,5.824384,8.6142,676.140,116.088,39.9115,13233,1536.19,1326.035,130.089,38.030,33.142,0.043,26.1,3.7,19245,18465,94531,,,5.6,17009.7,17956.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T11:40:23,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,traversal,3,16,100,0,1793,7.511991,11.3059,664.431,88.449,38.7881,13469,1191.32,1044.572,102.268,11.015,24.732,0.045,26.2,3.9,18919,18027,97595,,,5.6,16991.1,17972.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T12:00:32,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,traversal_dAdapt,3,16,100,0,1725,7.743768,11.6336,665.636,85.958,26.3583,13358,1148.22,1018.563,90.431,7.499,23.239,0.040,26.7,3.8,18387,17147,88797,,,5.6,16767.6,17638.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
2026-07-24T12:24:14,/sensei-fs-3/users/rkrishna/checkpoints/jsd_flat_enrich_K3_mathhard_s456/ckpt_best,math_eval,specinfer_dAdapt,3,16,100,0,2056,6.515564,9.7077,671.177,103.011,27.0603,13396,1379.94,1231.302,110.045,2.058,27.796,0.039,26.5,3.7,18387,16179,83451,,,5.6,16767.6,17638.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/cm3tmudp,0,Qwen/Qwen3-8B
