model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,1,0.041563
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,2,0.069301
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,4,0.102349
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,8,0.133205
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,16,0.162822
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,32,0.197674
Qwen/Qwen3-0.6B,olympiad_eval.jsonl,64,0.8,100,0,64,0.240000
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,1,0.333750
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,2,0.497852
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,4,0.646323
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,8,0.754919
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,16,0.833315
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,32,0.886960
Qwen/Qwen3-0.6B,gsm8k_eval.jsonl,64,0.8,100,0,64,0.920000
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,1,0.118906
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,2,0.196290
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,4,0.288847
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,8,0.377793
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,16,0.451986
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,32,0.510604
Qwen/Qwen3-0.6B,math_eval.jsonl,64,0.8,100,0,64,0.570000
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,1,0.122031
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,2,0.167212
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,4,0.206216
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,8,0.239127
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,16,0.271570
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,32,0.303078
Qwen/Qwen3-8B,olympiad_eval.jsonl,64,0.8,100,0,64,0.330000
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,1,0.539531
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,2,0.748016
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,4,0.889201
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,8,0.946885
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,16,0.965483
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,32,0.976971
Qwen/Qwen3-8B,gsm8k_eval.jsonl,64,0.8,100,0,64,0.990000
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,1,0.314375
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,2,0.425680
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,4,0.509347
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,8,0.562015
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,16,0.593207
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,32,0.613785
Qwen/Qwen3-8B,math_eval.jsonl,64,0.8,100,0,64,0.630000
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,1,0.214219
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,2,0.306066
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,4,0.388306
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,8,0.455336
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,16,0.512722
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,32,0.568064
Qwen/Qwen3-1.7B,math_eval.jsonl,64,0.8,100,0,64,0.630000
