model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.527500
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.655853
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.742984
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.808210
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.861022
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.901296
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.940000
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.224844
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.304063
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.376520
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.439921
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.497989
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.553833
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.610000
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.236406
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.309459
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.375368
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.434549
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.490987
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.545474
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr7e-6_wu20/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.590000
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.082500
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.117788
/sensei-fs-3/users/rkrishna/checkpoints/Qwen0.6B_Qwen8B/prefix_overlap/po_prob_lr3e-6_wu20/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.152045
