model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.221719
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.305074
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.382086
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.449111
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.505662
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.552941
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.590000
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.490781
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.626652
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.721435
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.794230
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.860114
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.913313
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.950000
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.079844
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.119241
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.159348
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.199859
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.242976
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.280840
$USER_HOME/checkpoints/po_mh_prob_ce_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.310000
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.232031
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.295174
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.356659
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.417399
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.473097
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.520311
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.560000
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.548750
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.639301
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.709462
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.765991
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.815834
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.854232
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.880000
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.078594
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.115129
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.155072
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.193377
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.230652
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.270424
$USER_HOME/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.310000
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.236406
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.304504
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.368372
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.434344
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.500425
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.559127
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.610000
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.541875
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.655699
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.729193
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.782902
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.829937
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.875966
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.920000
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.085781
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.125461
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.166953
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.209150
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.252833
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.292072
$USER_HOME/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.330000
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.177500
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.250561
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.326120
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.396796
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.454204
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.496581
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.530000
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.442500
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.592922
$USER_HOME/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.707470
