timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1,teacher_model
2026-07-06T01:59:36,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,naive,1,8,100,0,2160,6.065741,14.9651,405.325,66.822,9.0000,13102,875.50,637.785,182.797,1.271,41.695,0.040,36.7,15.7,67895,16009,82166,,,8.8,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T02:23:38,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,nss,1,8,100,0,3420,3.815205,9.3906,406.280,106.490,9.0000,13048,1389.48,1016.817,291.284,2.261,66.835,0.036,36.1,15.1,67919,15739,80165,,,8.8,65778.7,66632.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T02:38:22,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,specinfer,1,8,100,0,2153,6.125871,15.4440,396.650,64.750,9.0000,13189,853.99,621.555,178.282,1.344,41.108,0.036,37.3,15.8,67921,15313,104542,,,8.8,65778.7,66634.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T02:53:04,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,spectr,1,8,100,0,2160,6.065741,15.3267,395.762,65.245,9.0000,13102,854.85,622.325,178.516,1.242,41.025,0.036,37.6,16.0,67921,15704,88708,,,8.8,65778.7,66634.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T03:08:32,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,khisti,1,8,100,0,2160,6.065741,14.5414,417.135,68.769,9.0000,13102,901.01,656.886,188.163,1.292,42.406,0.036,35.6,15.2,67921,16315,84702,,,8.8,65778.7,66634.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T03:23:42,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,max,1,8,100,0,2160,6.065741,14.8292,409.040,67.434,9.0000,13102,883.53,643.679,184.894,1.381,41.435,0.042,36.2,15.3,67921,15023,90426,,,8.8,65778.7,66634.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T03:38:51,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,bv,1,8,100,0,2145,6.143124,14.9418,411.138,66.926,9.0000,13177,881.89,640.652,183.989,3.673,41.459,0.039,35.7,14.9,67921,14640,96868,,,8.7,65778.7,66634.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T03:53:45,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,gbv,1,8,100,0,2145,6.143124,15.1861,404.522,65.850,9.0000,13177,867.70,626.318,179.809,8.602,41.050,0.037,37.0,15.7,67939,15306,88138,,,8.8,65790.3,66652.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T04:08:32,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,traversal,1,8,100,0,2128,6.175282,15.3213,403.052,65.269,9.0000,13141,857.69,623.572,179.118,2.432,40.662,0.039,36.7,15.5,67939,16411,81660,,,8.8,65778.7,66652.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
2026-07-06T04:23:50,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/enrich_K3_math_hard_s123/ckpt_best,math_eval,traversal_dAdapt,1,8,100,0,2088,6.283525,14.6147,429.945,68.424,9.0000,13120,897.72,669.753,173.652,2.271,39.700,0.042,36.3,15.0,67897,15381,99179,,,8.2,65778.7,66610.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa,https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/ekzhcjzq,0,Qwen/Qwen3-32B
