timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1,teacher_model
2026-07-05T02:20:16,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,naive,1,8,100,0,2243,5.845742,12.3061,475.027,81.260,9.0000,13112,1065.49,819.111,188.899,1.328,43.142,0.043,0.0,0.0,768,3944,3496,,,8.2,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T02:48:37,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,nss,1,8,100,0,3465,3.762771,7.9263,474.719,126.162,9.0000,13038,1644.90,1269.537,292.857,2.333,66.864,0.038,0.0,0.0,768,3484,3521,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T03:07:10,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,specinfer,1,8,100,0,2256,5.816046,12.1983,476.793,81.979,9.0000,13121,1075.64,827.151,190.554,1.481,43.467,0.039,0.0,0.0,768,3709,3438,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T03:25:25,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,spectr,1,8,100,0,2243,5.845742,12.3337,473.965,81.079,9.0000,13112,1063.10,817.205,188.496,1.328,43.161,0.038,0.0,0.0,768,3846,3005,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T03:43:42,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,khisti,1,8,100,0,2243,5.845742,12.3289,474.148,81.110,9.0000,13112,1063.52,817.508,188.530,1.331,43.181,0.039,0.0,0.0,768,3688,3303,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T04:02:06,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,max,1,8,100,0,2243,5.845742,12.2514,477.148,81.623,9.0000,13112,1070.24,822.958,189.709,1.331,43.231,0.039,0.0,0.0,768,3876,3270,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T04:19:48,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,bv,1,8,100,0,2123,6.191710,12.7723,484.778,78.295,9.0000,13145,1029.18,789.576,181.796,3.664,41.010,0.039,0.0,0.0,768,3923,2989,,,8.1,65778.7,66612.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T04:37:23,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,gbv,1,8,100,0,2123,6.191710,12.8401,482.218,77.881,9.0000,13145,1023.75,780.681,180.181,8.872,40.955,0.038,0.0,0.0,768,3846,3387,,,8.1,65792.7,66642.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T04:55:08,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal,1,8,100,0,2161,6.082832,12.7552,476.890,78.399,9.0000,13145,1030.56,791.046,182.422,2.566,41.584,0.039,0.0,0.0,768,3765,2883,,,8.1,65778.7,66642.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
2026-07-05T05:14:27,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_nss_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal_dAdapt,1,8,100,0,2161,6.082832,12.0107,506.450,83.259,9.0000,13145,1094.44,860.361,177.652,2.398,41.029,0.040,0.0,0.0,768,3256,3415,,,8.1,65778.7,66614.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/7yncoy4o,0,Qwen/Qwen3-32B
