timestamp,checkpoint,dataset,mode,K,L,n_prompts,skipped_prompts,target_calls,block_eff,throughput_tok_s,time_per_call_ms,time_per_token_ms,avg_tree_nodes,total_gen_tokens,total_time_s,time_draft_s,time_target_s,time_verify_s,time_cache_s,time_tokenizer_s,gpu_sm_util_avg_pct,gpu_mem_util_avg_pct,gpu_vram_peak_mb,gpu_pcie_tx_avg_kbs,gpu_pcie_rx_avg_kbs,gpu_nvlink_tx_avg_kbs,gpu_nvlink_rx_avg_kbs,cpu_util_avg_pct,torch_vram_alloc_mb,torch_vram_reserv_mb,device,seed,dtype,cpu_threads_used,machine_gpu,machine_gpu_count,machine_gpu_vram_gb,machine_driver,machine_cpu_logical_cores,machine_cpu_physical_cores,machine_ram_gb,machine_os,attn_backend,training_wandb_url,L1,teacher_model
2026-07-05T02:20:31,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,naive,1,8,100,0,2342,5.610162,12.2821,456.775,81.419,9.0000,13139,1069.77,822.917,189.478,1.257,43.540,0.044,0.0,0.0,768,3715,3679,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T02:45:00,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,nss,1,8,100,0,3112,4.222686,9.3072,453.700,107.443,9.0000,13141,1411.91,1088.321,250.757,2.077,58.095,0.038,0.0,0.0,768,3641,3500,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T03:05:08,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,specinfer,1,8,100,0,2345,5.608102,11.2466,498.649,88.916,9.0000,13151,1169.33,899.402,208.087,1.505,46.795,0.039,0.0,0.0,768,3668,3453,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T03:24:44,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,spectr,1,8,100,0,2342,5.610162,11.6563,481.299,85.791,9.0000,13139,1127.20,867.118,200.341,1.330,45.212,0.039,0.0,0.0,768,3444,3578,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T03:43:14,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,khisti,1,8,100,0,2342,5.610162,12.2587,457.647,81.575,9.0000,13139,1071.81,824.424,190.048,1.264,43.514,0.039,0.0,0.0,768,3139,3509,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T04:01:45,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,max,1,8,100,0,2342,5.610162,12.2466,458.100,81.655,9.0000,13139,1072.87,825.363,190.128,1.265,43.544,0.039,0.0,0.0,768,3731,3403,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T04:19:03,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,bv,1,8,100,0,2185,6.014188,13.1093,458.773,76.282,9.0000,13141,1002.42,768.629,177.096,3.430,40.672,0.039,0.0,0.0,768,3561,3458,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T04:36:23,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,gbv,1,8,100,0,2185,6.014188,13.0773,459.896,76.469,9.0000,13141,1004.87,766.444,176.922,8.320,40.621,0.039,0.0,0.0,768,3534,3792,,,8.1,65792.7,66640.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T04:54:20,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal,1,8,100,0,2273,5.780026,12.6495,456.937,79.054,9.0000,13138,1038.62,797.339,183.744,2.606,42.424,0.039,0.0,0.0,768,3752,3313,,,8.1,65778.7,66640.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
2026-07-05T05:14:08,$USER_HOME/Qwen32B-Qwen1.7B/checkpoints/po_traversal_multiN4_L8_math_hard_s123/ckpt_best,math_eval,traversal_dAdapt,1,8,100,0,2273,5.780026,11.7706,491.055,84.957,9.0000,13138,1116.17,874.617,183.542,2.556,42.704,0.043,0.0,0.0,768,3409,3555,,,8.1,65778.7,66608.0,cuda:0,123,bf16,48,NVIDIA A100-SXM4-80GB,1,79.2,580.126.09,96,48,1121.8,Linux-6.12.68-92.122.amzn2023.x86_64-x86_64-with-glibc2.39,sdpa+flash_attention_2 (flash_attn-2.8.3.post1),https://wandb.ai/rmukund16-indian-institute-of-technology-hyderabad/distillspec-pipeline/runs/d9ka0df4,0,Qwen/Qwen3-32B
